"nodeId","D",
"O1JC76301JC7937","1397",
"O1JC76301JC8281","1728",
"O1JC76301JC8775","2196",
"O1JC76301JC8558","1984",
"O1JC76301JC9037","2453",
"O1JC76301JC9654","3034",
"O1JC76301JC9770","3147",
"O1JC76301JC10104","3477",
"O1JC76301JC10364","3734",
"O1JC76301JC10928","4175",
"O1JC76301JC8762","2184",
"O1JC76301JC10636","3966;4492",
"O1JC76301JC7899","1360",
"O1JC76301JC111841JC21721","4379",
"O1JC76301JC9000","2416",
"O1JC76301JC9280","2670",
"O1JC76301JC9617","2997",
"O1JC76301JC8417","1851",
"O1JC76301JC9735","3113",
"O1JC76301JC9518","2900",
"O1JC76301JC9994","3367",
"O1JC76301JC10326","3698",
"O1JC76301JC10622","3953;4478",
"O1JC76301JC10229","3602",
"O1JC76301JC7857","1323",
"O1JC76301JC10509","3855",
"O1JC76301JC8130","1581",
"O1JC76301JC7758","1225",
"O1JC76301JC11083","4297",
"O1JC76301JC9241","2635",
"O1JC76301JC8030","1483",
"O1JC76301JC8375","1814",
"O1JC76301JC8647","2070",
"O1JC76301JC9957","3330",
"O1JC76301JC9859","3235",
"O1JC76301JC10469","3819",
"O1JC76301JC11039","4262",
"O1JC76301JC8851","2269",
"O1JC76301JC7992","1446",
"O1JC76301JC8610","2034",
"O1JC76301JC9089","2503",
"O1JC76301JC9370","2754",
"O1JC76301JC8511","1937",
"O1JC76301JC9821","3198",
"O1JC76301JC10081","3454",
"O1JC76301JC10415","3785",
"O1JC76301JC10734","4039",
"O1JC76301JC8813","2233",
"O1JC76301JC10899","4153",
"O1JC76301JC7951","1409",
"O1JC76301JC9075","2491",
"O1JC76301JC8220","1668",
"O1JC76301JC8714","2135-36",
"O1JC76301JC112321JC21766","4421",
"O1JC76301JC9333","2720",
"O1JC76301JC8472","1901",
"O1JC76301JC9594","2974",
"O1JC76301JC10044","3417",
"O1JC76301JC10850","4117",
"O1JC76301JC10573","3906",
"O1JC76301JC7834","1300",
"O1JC76301JC8677","2098",
"O1JC76301JC8940","2356",
"O1JC76301JC8082","1534",
"O1JC76301JC9557","2938",
"O1JC76301JC8347","1791",
"O1JC76301JC9191","2588",
"O1JC76301JC10008","3381",
"O1JC76301JC9458","2842",
"O1JC76301JC10267","3640",
"O1JC76301JC9910","3284",
"O1JC76301JC10169","3542",
"O1JC76301JC10530","3869",
"O1JC76301JC7797","1263",
"O1JC76301JC8902","2319",
"O1JC76301JC7692","1168",
"O1JC76301JC11016","4239",
"O1JC76301JC9178","2575",
"O1JC76301JC8309","1756",
"O1JC76301JC9421","2805",
"O1JC76301JC9897","3271",
"O1JC76301JC9682","3062",
"O1JC76301JC10132","3505",
"O1JC76301JC10392","3762",
"O1JC76301JC7655","1131",
"O1JC76301JC10665","3993",
"O1JC76301JC7927","1388",
"O1JC76301JC8272","1719",
"O1JC76301JC8549","1975",
"O1JC76301JC9028","2444",
"O1JC76301JC8171","1621",
"O1JC76301JC8449","1878",
"O1JC76301JC10355","3725",
"O1JC76301JC10918","4166",
"O1JC76301JC8752","2171",
"O1JC76301JC7889","1351",
"O1JC76301JC112721JC21804","4459",
"O1JC76301JC10774","4072",
"O1JC76301JC8991","2407",
"O1JC76301JC11120","4323",
"O1JC76301JC9269","2662;cf.494",
"O1JC76301JC9608","2988",
"O1JC76301JC8405","1842",
"O1JC76301JC9726","3104",
"O1JC76301JC9509","2892",
"O1JC76301JC9985","3358",
"O1JC76301JC10220","3593",
"O1JC76301JC10499","3846",
"O1JC76301JC7748","1216",
"O1JC76301JC11073","4288",
"O1JC76301JC9231","2626",
"O1JC76301JC8021","1474",
"O1JC76301JC8366","1805",
"O1JC76301JC9496","2880-1",
"O1JC76301JC8638","2061",
"O1JC76301JC9128","2531",
"O1JC76301JC9948","3321",
"O1JC76301JC9850","3226",
"O1JC76301JC10458","3810",
"O1JC76301JC7735","1203",
"O1JC76301JC8842","2260",
"O1JC76301JC7983","1437",
"O1JC76301JC8249","1696",
"O1JC76301JC8601","2025",
"O1JC76301JC9079","2495",
"O1JC76301JC9361","2745",
"O1JC76301JC8502","1928",
"O1JC76301JC9812","3189",
"O1JC76301JC10072","3445",
"O1JC76301JC10406","3776",
"O1JC76301JC10716","4030",
"O1JC76301JC10307","3679",
"O1JC76301JC10888","4145",
"O1JC76301JC112261JC21763","4419A",
"O1JC76301JC10602","3934",
"O1JC76301JC8210","1659",
"O1JC76301JC8705","2126",
"O1JC76301JC7838","1304",
"O1JC76301JC111761JC21713","4371",
"O1JC76301JC8968","2384",
"O1JC76301JC9324","2711",
"O1JC76301JC8110","1562",
"O1JC76301JC9585","2965",
