"nodeId","D",
"O2DB757121KG75904","5905",
"O2DB757121KG73660","3900",
"O2DB757121KG74111","4349",
"O2DB757121KG72416","2696",
"O2DB757121KG74822","5045",
"O2DB757121KG73127","3372",
"O2DB757121KG75416","5544",
"O2DB757121KG72769","3035",
"O2DB757121KG73029","3292",
"O2DB757121KG73838","4077",
"O2DB757121KG73623","3863",
"O2DB757121KG71785","2105",
"O2DB757121KG73740","3979",
"O2DB757121KG74074","4312",
"O2DB757121KG72045","2341",
"O2DB757121KG74334","4575",
"O2DB757121KG74785","5010",
"O2DB757121KG72281","2571",
"O2DB757121KG72756","3024",
"O2DB757121KG74570","4797",
"O2DB757121KG72541","2812",
"O2DB757121KG72992","3255",
"O2DB757121KG75281","5436",
"O2DB757121KG73252","3492",
"O2DB757121KG73586","3826",
"O2DB757121KG73703","3943",
"O2DB757121KG72008","0",
"O2DB757121KG73963","4201",
"O2DB757121KG74297","4535",
"O2DB757121KG72268","2557",
"O2DB757121KG74557","4787",
"O2DB757121KG71910","2221",
"O2DB757121KG74199","0",
"O2DB757121KG75008","5210",
"O2DB757121KG72504","2777",
"O2DB757121KG74459","4697",
"O2DB757121KG75268","5423",
"O2DB757121KG74910","5133",
"O2DB757121KG73215","3457",
"O2DB757121KG73926","4164",
"O2DB757121KG71873","2184",
"O2DB757121KG72133","2427",
"O2DB757121KG74422","4661",
"O2DB757121KG74873","5096",
"O2DB757121KG72369","2655",
"O2DB757121KG72844","3108",
"O2DB757121KG73178","3422",
"O2DB757121KG75133","5292",
"O2DB757121KG72629","2901",
"O2DB757121KG73438","3673",
"O2DB757121KG73080","3334",
"O2DB757121KG75369","5517",
"O2DB757121KG75844","5854",
"O2DB757121KG73340","3574",
"O2DB757121KG75629","5700",
"O2DB757121KG73791","4030",
"O2DB757121KG71762","2083",
"O2DB757121KG72096","2391",
"O2DB757121KG74051","4289",
"O2DB757121KG74385","4624",
"O2DB757121KG72356","2645",
"O2DB757121KG74645","4871",
"O2DB757121KG72807","3072",
"O2DB757121KG74762","4987",
"O2DB757121KG75096","5261",
"O2DB757121KG72592","2863",
"O2DB757121KG73067","3326-2",
"O2DB757121KG75356","5506",
"O2DB757121KG72709","2978",
"O2DB757121KG75807","0",
"O2DB757121KG75592","5665",
"O2DB757121KG73563","3803",
"O2DB757121KG75709","5755",
"O2DB757121KG71725","2054",
"O2DB757121KG74014","4252",
"O2DB757121KG74608","4834",
"O2DB757121KG74725","4950",
"O2DB757121KG72221","2513",
"O2DB757121KG74510","4747",
"O2DB757121KG72672","2941",
"O2DB757121KG72932","3195",
"O2DB757121KG75221","5377",
"O2DB757121KG73526","3766",
"O2DB757121KG71688","2017",
"O2DB757121KG73977","4215",
"O2DB757121KG75932","5925",
"O2DB757121KG71948","2259",
"O2DB757121KG74237","4475",
"O2DB757121KG73879","4118",
"O2DB757121KG71850","2162",
"O2DB757121KG74688","4914",
"O2DB757121KG72184","2478",
"O2DB757121KG74139","4377",
"O2DB757121KG74473","4711",
"O2DB757121KG74948","5171",
"O2DB757121KG72444","2718",
"O2DB757121KG72895","3159",
"O2DB757121KG74850","5073",
"O2DB757121KG75184","5341",
"O2DB757121KG73155","3400",
"O2DB757121KG75444","5567",
"O2DB757121KG73866","4105",
"O2DB757121KG73651","3891",
"O2DB757121KG71813","2130",
"O2DB757121KG74102","4340",
"O2DB757121KG72407","2688",
"O2DB757121KG74362","4602",
"O2DB757121KG72667","2937",
"O2DB757121KG74813","5036",
"O2DB757121KG72309","2598",
"O2DB757121KG73118","3364",
"O2DB757121KG75667","5723",
"O2DB757121KG73020","3283",
"O2DB757121KG75309","5464",
"O2DB757121KG73614","3854",
"O2DB757121KG71776","2097",
"O2DB757121KG73731","3970",
"O2DB757121KG72036","2332",
"O2DB757121KG74325","4567",
"O2DB757121KG74776","5001",
"O2DB757121KG72272","2562",
"O2DB757121KG72747","3017-1",
"O2DB757121KG75036","5237",
"O2DB757121KG72532","2803",
"O2DB757121KG72983","3246",
"O2DB757121KG75272","5427",
"O2DB757121KG73243","3485",
"O2DB757121KG73577","3817",
"O2DB757121KG75532","5621",
"O2DB757121KG73694","3934",
"O2DB757121KG73479","3718",
"O2DB757121KG73954","4192",
"O2DB757121KG74288","4527",
"O2DB757121KG74548","4784",
"O2DB757121KG71901","2212",
"O2DB757121KG74190","4428",
"O2DB757121KG72161","2455",
"O2DB757121KG72495","2768",
"O2DB757121KG74450","4688",
"O2DB757121KG74901","5124",
"O2DB757121KG73206","3450",
"O2DB757121KG75161","5319",
"O2DB757121KG75495","5601",
"O2DB757121KG73466","3703",
"O2DB757121KG73917","4155",
"O2DB757121KG73819","4058",
"O2DB757121KG74413","4652",
"O2DB757121KG72835","3100",
"O2DB757121KG75124","5284",
"O2DB757121KG72620","2892",
"O2DB757121KG73071","3330",
"O2DB757121KG75835","5846",
"O2DB757121KG73331","3565",
"O2DB757121KG75620","5693",
"O2DB757121KG73782","4021",
"O2DB757121KG71753","2074",
"O2DB757121KG72087","2382",
"O2DB757121KG74042","4280",
"O2DB757121KG74376","4615",
"O2DB757121KG72347","2636",
"O2DB757121KG74636","4862",
"O2DB757121KG71989","2300",
"O2DB757121KG72798","3063",
"O2DB757121KG74753","4978",
"O2DB757121KG72249","2539",
"O2DB757121KG72583","2854",
"O2DB757121KG73058","3321",
"O2DB757121KG75347","5498",
"O2DB757121KG72700","2969",
"O2DB757121KG74989","5199",
"O2DB757121KG72960","3223",
"O2DB757121KG75798","5824",
"O2DB757121KG75249","5404",
"O2DB757121KG73554","3794",
"O2DB757121KG75700","5746",
"O2DB757121KG71716","2045",
"O2DB757121KG74005","4243",
"O2DB757121KG75960","5953",
"O2DB757121KG74265","4503",
"O2DB757121KG74716","4941",
"O2DB757121KG72212","2504",
"O2DB757121KG74501","4738",
"O2DB757121KG72923","3186",
"O2DB757121KG75212","5368",
"O2DB757121KG73517","3757",
"O2DB757121KG75923","5918",
"O2DB757121KG73419","3654",
"O2DB757121KG74228","4466",
"O2DB757121KG73870","4109",
"O2DB757121KG71841","2153",
"O2DB757121KG72175","2469",
"O2DB757121KG74130","4368",
"O2DB757121KG72435","2712",
"O2DB757121KG72886","3150",
"O2DB757121KG74841","5064",
"O2DB757121KG75175","5333",
"O2DB757121KG73146","3391",
"O2DB757121KG75435","5559",
"O2DB757121KG75886","5888",
"O2DB757121KG73382","3616",
"O2DB757121KG73857","4096",
"O2DB757121KG73642","3882",
"O2DB757121KG71804","2122",
"O2DB757121KG73759","3998",
"O2DB757121KG74093","4331",
"O2DB757121KG72064","2359",
"O2DB757121KG72398","2679",
"O2DB757121KG74353","4593",
"O2DB757121KG72658","2928",
"O2DB757121KG74804","5028",
"O2DB757121KG72300","2589",
"O2DB757121KG74589","4816",
"O2DB757121KG72560","2831",
"O2DB757121KG75398","5532",
"O2DB757121KG75658","5720",
"O2DB757121KG73011","3274",
"O2DB757121KG75300","5455",
"O2DB757121KG73605","3845",
"O2DB757121KG75560","5640",
"O2DB757121KG73722","3961",
"O2DB757121KG72027","2325",
"O2DB757121KG74316","4554",
"O2DB757121KG71929","2239",
"O2DB757121KG72738","3008",
"O2DB757121KG75027","5228",
"O2DB757121KG72523","2794",
"O2DB757121KG74669","4895",
"O2DB757121KG72974","3237",
"O2DB757121KG74929","5152",
"O2DB757121KG75738","5778",
"O2DB757121KG73234","3476",
"O2DB757121KG73685","3925",
"O2DB757121KG73470","3707",
"O2DB757121KG73945","4183",
"O2DB757121KG71892","2203",
"O2DB757121KG74181","4419",
"O2DB757121KG72152","2446",
"O2DB757121KG72486","2760",
"O2DB757121KG74441","4679",
"O2DB757121KG74892","5115",
"O2DB757121KG72863","3127",
"O2DB757121KG73197","3441",
"O2DB757121KG75152","5310",
"O2DB757121KG75486","5595",
"O2DB757121KG73457","3693",
"O2DB757121KG73099","3347",
"O2DB757121KG73908","4146",
"O2DB757121KG75863","5871",
"O2DB757121KG73359","3593",
"O2DB757121KG74168","4406",
"O2DB757121KG73810","4049",
"O2DB757121KG72115","2410",
"O2DB757121KG74404","4643",
"O2DB757121KG74664","4890",
"O2DB757121KG72826","3091",
"O2DB757121KG75115","5276",
"O2DB757121KG72611","2883",
"O2DB757121KG75826","5840",
"O2DB757121KG73322","3556",
"O2DB757121KG75611","5684",
"O2DB757121KG73773","4012",
"O2DB757121KG71744","2066",
"O2DB757121KG72078","2373",
"O2DB757121KG74033","4271",
"O2DB757121KG72338","2627",
"O2DB757121KG74627","4853",
"O2DB757121KG71980","2291",
"O2DB757121KG74269","4507",
"O2DB757121KG74744","4969",
"O2DB757121KG72240","2531",
"O2DB757121KG72574","2845",
"O2DB757121KG74529","4765",
"O2DB757121KG75338","5491",
"O2DB757121KG72691","2960",
"O2DB757121KG74980","5192",
"O2DB757121KG72951","3213",
"O2DB757121KG73285","3520",
"O2DB757121KG75240","5395",
"O2DB757121KG73545","3785",
"O2DB757121KG75691","5737",
"O2DB757121KG71707","2036",
"O2DB757121KG73996","4234",
"O2DB757121KG75951","5943",
"O2DB757121KG71967","2278",
"O2DB757121KG74256","4494",
"O2DB757121KG74707","4933",
"O2DB757121KG72203","2495",
"O2DB757121KG74492","4729",
"O2DB757121KG74967","5186",
"O2DB757121KG72914","3177",
"O2DB757121KG75203","5359",
"O2DB757121KG73508","3748",
"O2DB757121KG75463","5584",
"O2DB757121KG71832","2144",
"O2DB757121KG74121","4359",
"O2DB757121KG72877","3141",
"O2DB757121KG74832","5055",
"O2DB757121KG73137","3382",
"O2DB757121KG75426","5552",
"O2DB757121KG72779","345",
"O2DB757121KG73039","3302",
"O2DB757121KG75877","5880",
"O2DB757121KG73373","3607",
"O2DB757121KG73848","4087",
"O2DB757121KG73633","3873",
"O2DB757121KG75779","5807",
"O2DB757121KG71795","2115",
"O2DB757121KG73750","3989",
"O2DB757121KG74084","4322",
"O2DB757121KG72055","2350",
"O2DB757121KG74344","4584",
"O2DB757121KG74795","5019",
"O2DB757121KG72291","2580",
"O2DB757121KG72766","3032",
"O2DB757121KG74580","4807",
"O2DB757121KG72551","2822",
"O2DB757121KG73002","3265",
"O2DB757121KG75291","5446",
"O2DB757121KG75766","5800",
"O2DB757121KG73262","3501",
"O2DB757121KG73596","3836",
"O2DB757121KG75551","5631",
"O2DB757121KG73713","3953",
"O2DB757121KG72018","2318",
"O2DB757121KG74307","4545",
"O2DB757121KG74567","4794",
"O2DB757121KG74209","4447",
"O2DB757121KG75018","5221",
"O2DB757121KG74920","5143",
"O2DB757121KG73225","3467",
"O2DB757121KG73676","3916",
"O2DB757121KG73936","4174",
"O2DB757121KG71883","2194",
"O2DB757121KG74172","4410",
"O2DB757121KG72143","2437",
"O2DB757121KG72477","2751",
"O2DB757121KG74432","4670",
"O2DB757121KG74883","5106",
"O2DB757121KG72854","3118",
"O2DB757121KG73188","3432",
"O2DB757121KG75143","5302",
"O2DB757121KG72639","2909",
"O2DB757121KG73448","3683",
"O2DB757121KG73350","3584",
"O2DB757121KG75639","5710",
"O2DB757121KG73801","4040",
"O2DB757121KG72106","2401",
"O2DB757121KG74061","4299",
"O2DB757121KG74395","4634",
"O2DB757121KG74655","4881",
"O2DB757121KG72817","3082",
"O2DB757121KG75106","5270",
"O2DB757121KG72602","2874",
"O2DB757121KG75366","5515",
"O2DB757121KG72719","2989",
"O2DB757121KG73313","3546",
"O2DB757121KG75602","5675",
"O2DB757121KG75719","5764",
"O2DB757121KG71735","2063",
"O2DB757121KG74024","4262",
"O2DB757121KG74618","4844",
"O2DB757121KG71971","2282",
"O2DB757121KG74735","4960",
"O2DB757121KG72231","2522",
"O2DB757121KG74520","4756",
"O2DB757121KG72682","2951",
"O2DB757121KG72942","3205",
"O2DB757121KG73276","3513",
"O2DB757121KG75231","5386",
"O2DB757121KG73536","3776",
"O2DB757121KG75682","5729",
"O2DB757121KG71698","2027",
"O2DB757121KG73987","4225",
"O2DB757121KG75942","5935",
"O2DB757121KG71958","2269",
"O2DB757121KG74247","4485",
"O2DB757121KG73889","4127",
"O2DB757121KG71860","2171",
"O2DB757121KG74698","4924",
"O2DB757121KG72194","2486",
"O2DB757121KG74149","4387",
"O2DB757121KG74483","4720",
"O2DB757121KG74958","5181",
"O2DB757121KG72454","2728",
"O2DB757121KG74860","5082",
"O2DB757121KG75194","5351",
"O2DB757121KG73165","3410",
"O2DB757121KG75454","5575",
"O2DB757121KG75905","5906",
"O2DB757121KG73661","3901",
"O2DB757121KG71823","2136",
"O2DB757121KG74112","4350",
"O2DB757121KG72417","2697",
"O2DB757121KG74823","5046",
"O2DB757121KG72319","2608",
"O2DB757121KG73128","3373",
"O2DB757121KG75417","5545",
"O2DB757121KG72770","3036",
"O2DB757121KG73030","3293",
"O2DB757121KG75319","5474",
"O2DB757121KG73624","3864",
"O2DB757121KG75770","5800",
"O2DB757121KG71786","2106",
"O2DB757121KG73741","3980",
"O2DB757121KG74075","4313",
"O2DB757121KG72046","2342",
"O2DB757121KG74335","4576",
"O2DB757121KG74786","5011",
"O2DB757121KG72282","2572",
"O2DB757121KG72757","3025",
"O2DB757121KG74571","4798",
"O2DB757121KG75046","5246",
"O2DB757121KG72542","2813",
"O2DB757121KG72993","3256",
"O2DB757121KG75282","5437",
"O2DB757121KG73253","3493",
"O2DB757121KG73587","3827",
"O2DB757121KG75542","5624",
"O2DB757121KG73704","3944",
"O2DB757121KG73489","3729",
"O2DB757121KG73964","4202",
"O2DB757121KG74298","4536",
"O2DB757121KG71911","2222",
"O2DB757121KG74200","4437",
"O2DB757121KG72505","2778",
"O2DB757121KG74460","4698",
"O2DB757121KG74911","5134",
"O2DB757121KG73216","3458",
"O2DB757121KG75505","5605",
"O2DB757121KG73927","4165",
"O2DB757121KG71874","2185",
"O2DB757121KG73829","4068",
"O2DB757121KG72134","2428",
"O2DB757121KG74423","4662",
"O2DB757121KG74874","5097",
"O2DB757121KG72370","2656",
"O2DB757121KG72845","3109",
"O2DB757121KG75134","5293",
"O2DB757121KG72630","2901-1",
"O2DB757121KG73081","3335",
"O2DB757121KG75845","5855",
"O2DB757121KG73341","3575",
"O2DB757121KG75630","5701",
"O2DB757121KG73792","4031",
"O2DB757121KG71763","2084",
"O2DB757121KG72097","2392",
"O2DB757121KG74052","4290",
"O2DB757121KG74386","4625",
"O2DB757121KG72357","2646",
"O2DB757121KG74646","4872",
"O2DB757121KG71999","0",
"O2DB757121KG72808","3073",
"O2DB757121KG74763","4988",
"O2DB757121KG72259","2549",
"O2DB757121KG75097","5262",
"O2DB757121KG72593","2864",
"O2DB757121KG73068","3327",
"O2DB757121KG75357","5507",
"O2DB757121KG72710","2979",
"O2DB757121KG75808","0",
"O2DB757121KG75259","5414",
"O2DB757121KG75593","5666",
"O2DB757121KG73564","3804",
"O2DB757121KG75710","5756",
"O2DB757121KG71726","2055",
"O2DB757121KG74015","4253",
"O2DB757121KG74726","4951",
"O2DB757121KG72222","2514",
"O2DB757121KG74511","4748",
"O2DB757121KG72673","2942",
"O2DB757121KG72933","3196",
"O2DB757121KG73527","3767",
"O2DB757121KG75673","5724",
"O2DB757121KG75673","vol.196,ff.1r-21v(pp.1-42)",
"O2DB757121KG73169","3414",
"O2DB757121KG73978","4216",
"O2DB757121KG75933","5926",
"O2DB757121KG73429","3664",
"O2DB757121KG74238","4476",
"O2DB757121KG73880","4119",
"O2DB757121KG71851","2163",
"O2DB757121KG74140","4378",
"O2DB757121KG74474","4712",
"O2DB757121KG72445","2719",
"O2DB757121KG72896","3160",
"O2DB757121KG74851","5074",
"O2DB757121KG75185","5342",
"O2DB757121KG73156","3401",
"O2DB757121KG75445","5568",
"O2DB757121KG75896","5897",
"O2DB757121KG73867","4106",
"O2DB757121KG73652","3892",
"O2DB757121KG74103","4341",
"O2DB757121KG72408","2689",
"O2DB757121KG74363","4603",
"O2DB757121KG72668","2938",
"O2DB757121KG74814","5037",
"O2DB757121KG72310","2599",
"O2DB757121KG74599","4826",
"O2DB757121KG75408","5539",
"O2DB757121KG73021","3284",
"O2DB757121KG75310","5465",
"O2DB757121KG73615","3855",
"O2DB757121KG71777","2098",
"O2DB757121KG73732","3971",
"O2DB757121KG72037","2333",
"O2DB757121KG74326","4568",
"O2DB757121KG71679","2008",
"O2DB757121KG71939","2250",
"O2DB757121KG74777","5002",
"O2DB757121KG72273","2563",
"O2DB757121KG72748","3017-2",
"O2DB757121KG75037","5238",
"O2DB757121KG72533","2804",
"O2DB757121KG74679","4905",
"O2DB757121KG72984","3247",
"O2DB757121KG74939","5162",
"O2DB757121KG75273","5428",
"O2DB757121KG75748","5787",
"O2DB757121KG73578","3818",
"O2DB757121KG73695","3935",
"O2DB757121KG73480","3719",
"O2DB757121KG73955","4193",
"O2DB757121KG71902","2213",
"O2DB757121KG74191","4429",
"O2DB757121KG72162","2456",
"O2DB757121KG72496","2769",
"O2DB757121KG74451","4689",
"O2DB757121KG74902","5125",
"O2DB757121KG73207","3451",
"O2DB757121KG75162","5320",
"O2DB757121KG73467","3704",
"O2DB757121KG73109","3356",
"O2DB757121KG73918","4156",
"O2DB757121KG73820","4059",
"O2DB757121KG72125","2419",
"O2DB757121KG74414","4653",
