"O01CT000701JW27281","380",
"O01CT000701JW26798","11.14",
"O01CT000701JW27260","359",
"O01CT000701JW27175","288 / 516",
"O01CT000701JW27239","339",
"O01CT000701JW27154","275",
"O01CT000701JW27297","395",
"O01CT000701JW27218","329",
"O01CT000701JW27133","257",
"O01CT000701JW27276","375",
"O01CT000701JW27674","751",
"O01CT000701JW27191","303",
"O01CT000701JW27112","240 / 515",
"O01CT000701JW27653","730",
"O01CT000701JW27170","283",
"O01CT000701JW27085","215",
"O01CT000701JW27632","709",
"O01CT000701JW27149","273",
"O01CT000701JW27064","195",
"O01CT000701JW27611","689",
"O01CT000701JW27043","176",
"O01CT000701JW27669","746",
"O01CT000701JW27186","298",
"O01CT000701JW27584","664",
"O01CT000701JW27107","236",
"O01CT000701JW27101","230",
"O01CT000701JW27022","157",
"O01CT000701JW27648","725",
"O01CT000701JW27563","645",
"O01CT000701JW27080","210",
"O01CT000701JW26995","133",
"O01CT000701JW27627","704",
"O01CT000701JW27542","624",
"O01CT000701JW27059","190 / 464",
"O01CT000701JW26974","113",
"O01CT000701JW27606","684",
"O01CT000701JW27600","679",
"O01CT000701JW27521","603",
"O01CT000701JW27038","171",
"O01CT000701JW27579","659",
"O01CT000701JW27096","225",
"O01CT000701JW27494","577",
"O01CT000701JW27017","269",
"O01CT000701JW27017","152",
"O01CT000701JW27415","502",
"O01CT000701JW26932","76",
"O01CT000701JW27558","640",
"O01CT000701JW27473","557",
"O01CT000701JW26990","128",
"O01CT000701JW26911","57",
"O01CT000701JW26905","51",
"O01CT000701JW27537","619",
"O01CT000701JW27452","536",
"O01CT000701JW26969","109",
"O01CT000701JW27516","598",
"O01CT000701JW27431","517",
"O01CT000701JW26948","91",
"O01CT000701JW26863","16",
"O01CT000701JW27489","572",
"O01CT000701JW27410","497",
"O01CT000701JW27404","491",
"O01CT000701JW26927","71",
"O01CT000701JW27325","421",
"O01CT000701JW27468","552",
"O01CT000701JW27383","470",
"O01CT000701JW26906","52",
"O01CT000701JW26900","48",
"O01CT000701JW26821","11.35",
"O01CT000701JW27447","531",
"O01CT000701JW27362","451",
"O01CT000701JW26879","32",
"O01CT000701JW26794","11.11",
"O01CT000701JW27426","512",
"O01CT000701JW26715","1",
"O01CT000701JW27341","433",
"O01CT000701JW27399","486",
"O01CT000701JW27320","416",
"O01CT000701JW27235","336",
"O01CT000701JW27378","466 / 726",
"O01CT000701JW27293","391",
"O01CT000701JW26816","11.30",
"O01CT000701JW27214","325",
"O01CT000701JW26731","7",
"O01CT000701JW27357","447",
"O01CT000701JW27272","371",
"O01CT000701JW26789","11.6",
"O01CT000701JW27336","431.1",
"O01CT000701JW27251","351",
"O01CT000701JW27230","333",
"O01CT000701JW26747","9",
"O01CT000701JW27145","269",
"O01CT000701JW27288","387",
"O01CT000701JW27209","320",
"O01CT000701JW27203","314",
"O01CT000701JW27124","250",
"O01CT000701JW27267","366",
"O01CT000701JW27665","742",
"O01CT000701JW27182","294",
"O01CT000701JW27246","346",
"O01CT000701JW27644","721",
"O01CT000701JW27623","700",
"O01CT000701JW27140","264",
"O01CT000701JW27055","186",
"O01CT000701JW27681","758",
"O01CT000701JW27198","310",
"O01CT000701JW27034","167",
"O01CT000701JW27660","737",
"O01CT000701JW27177","289",
"O01CT000701JW27575","655",
"O01CT000701JW27092","222",
"O01CT000701JW27013","149",
"O01CT000701JW27639","716",
"O01CT000701JW27156","277",
"O01CT000701JW27554","636",
"O01CT000701JW27071","202",
"O01CT000701JW27618","696",
"O01CT000701JW27533","615",
"O01CT000701JW27050","181",
"O01CT000701JW27676","753",
"O01CT000701JW27591","671",
"O01CT000701JW27512","594",
"O01CT000701JW27029","163",
"O01CT000701JW26944","87",
"O01CT000701JW27570","650",
"O01CT000701JW27087","217",
"O01CT000701JW27485","568",
"O01CT000701JW27008","144",
"O01CT000701JW27002","139",
"O01CT000701JW26923","68",
"O01CT000701JW27549","631",
"O01CT000701JW27066","197",
"O01CT000701JW27464","548",
"O01CT000701JW27528","610",
"O01CT000701JW27443","527",
"O01CT000701JW26960","101",
"O01CT000701JW27586","666",
"O01CT000701JW26875","28",
"O01CT000701JW27507","589",
"O01CT000701JW27501","584",
"O01CT000701JW27422","509",
"O01CT000701JW26939","82",
"O01CT000701JW27480","563",
"O01CT000701JW26997","134",
"O01CT000701JW27395","482",
"O01CT000701JW26918","64",
"O01CT000701JW26833","11.46",
"O01CT000701JW27459","543",
"O01CT000701JW26976","115",
"O01CT000701JW27374","462",
"O01CT000701JW26891","40",
"O01CT000701JW26812","11.26",
"O01CT000701JW27438","523",
"O01CT000701JW27353","444",
"O01CT000701JW26870","23",
"O01CT000701JW27496","579 / 752",
"O01CT000701JW26785","11.3",
"O01CT000701JW27417","504",
"O01CT000701JW27332","427",
"O01CT000701JW27390","477",
"O01CT000701JW27311","408 /1",
"O01CT000701JW27305","403",
"O01CT000701JW26828","11.41",
"O01CT000701JW26743","9",
"O01CT000701JW27369","457",
"O01CT000701JW26886","36",
"O01CT000701JW27284","383",
"O01CT000701JW26807","11.21",
"O01CT000701JW26801","11.16",
"O01CT000701JW26722","3",
"O01CT000701JW27348","439",
"O01CT000701JW27263","362",
"O01CT000701JW26780","10",
"O01CT000701JW27327","423",
"O01CT000701JW27242","342",
"O01CT000701JW26759","9",
"O01CT000701JW27306","404",
"O01CT000701JW27300","398",
"O01CT000701JW27221","331.2",
"O01CT000701JW27279","378",
"O01CT000701JW26796","11.12",
"O01CT000701JW27194","306 / 63",
"O01CT000701JW26717","2",
"O01CT000701JW27258","357",
"O01CT000701JW27173","286",
"O01CT000701JW27237","337",
"O01CT000701JW27635","712",
"O01CT000701JW27216","327",
"O01CT000701JW27614","692",
"O01CT000701JW27131","255",
"O01CT000701JW27672","749",
"O01CT000701JW27189","301",
"O01CT000701JW27110","239",
"O01CT000701JW27104","233",
"O01CT000701JW27651","728",
"O01CT000701JW27168","281",
"O01CT000701JW27083","213",
"O01CT000701JW27630","707",
"O01CT000701JW27147","271",
"O01CT000701JW27545","627",
"O01CT000701JW27062","193",
"O01CT000701JW27688","764",
"O01CT000701JW27609","687",
"O01CT000701JW27603","682",
"O01CT000701JW27524","606",
"O01CT000701JW27041","174",
"O01CT000701JW27667","744",
"O01CT000701JW27582","662",
"O01CT000701JW27099","228",
"O01CT000701JW27020","155 / 672",
"O01CT000701JW27646","723",
"O01CT000701JW26935","79",
"O01CT000701JW27561","643",
"O01CT000701JW27078","208",
"O01CT000701JW26993","131",
"O01CT000701JW26914","60",
"O01CT000701JW27540","622",
"O01CT000701JW27057","188",
"O01CT000701JW27455","539",
"O01CT000701JW26972","111",
"O01CT000701JW27598","677",
"O01CT000701JW27519","601",
"O01CT000701JW27036","169",
"O01CT000701JW27434","520",
"O01CT000701JW26951","93",
"O01CT000701JW27577","657",
"O01CT000701JW27492","575",
"O01CT000701JW27413","500",
"O01CT000701JW26930","74",
"O01CT000701JW27556","638",
"O01CT000701JW26845","12",
"O01CT000701JW27471","555",
"O01CT000701JW26988","126",
"O01CT000701JW26909","55",
"O01CT000701JW26824","11.37",
"O01CT000701JW27450","534",
"O01CT000701JW26967","107",
"O01CT000701JW27365","454",
"O01CT000701JW27429","515 / 240",
"O01CT000701JW26946","89",
"O01CT000701JW27344","436",
"O01CT000701JW27487","570",
"O01CT000701JW27408","495",
"O01CT000701JW27402","489",
"O01CT000701JW27323","419",
"O01CT000701JW27466","550",
"O01CT000701JW26755","9",
"O01CT000701JW26898","46",
"O01CT000701JW26819","11.33",
"O01CT000701JW26734","8",
"O01CT000701JW27360","450",
"O01CT000701JW26877","30",
"O01CT000701JW27275","374",
"O01CT000701JW26792","11.9",
"O01CT000701JW26713","1",
"O01CT000701JW27339","431.4",
"O01CT000701JW27254","354",
"O01CT000701JW27397","484",
"O01CT000701JW27318","414",
"O01CT000701JW27233","334",
"O01CT000701JW27376","464 / 190",
"O01CT000701JW27291","390",
"O01CT000701JW27212","323",
"O01CT000701JW26729","6",
"O01CT000701JW27270","369",
"O01CT000701JW26787","11.5",
"O01CT000701JW27185","297",
"O01CT000701JW27249","349",
"O01CT000701JW27164","280",
"O01CT000701JW27228","333",
"O01CT000701JW27143","267",
"O01CT000701JW27286","385",
"O01CT000701JW27684","761",
"O01CT000701JW27207","318",
"O01CT000701JW27122","248",
"O01CT000701JW27663","740",
"O01CT000701JW27180","292",
"O01CT000701JW27095","224",
"O01CT000701JW27642","719",
"O01CT000701JW27074","205",
"O01CT000701JW27621","698",
"O01CT000701JW27138","262",
"O01CT000701JW27053","184",
"O01CT000701JW27679","756",
"O01CT000701JW27196","308",
"O01CT000701JW27594","673.2",
"O01CT000701JW27117","244",
"O01CT000701JW27515","597",
"O01CT000701JW27032","166",
"O01CT000701JW27658","735",
"O01CT000701JW27573","653",
"O01CT000701JW27090","220 / 216",
"O01CT000701JW27011","147",
"O01CT000701JW27005","141",
"O01CT000701JW27637","714",
"O01CT000701JW27552","634",
"O01CT000701JW27069","200",
"O01CT000701JW26984","122",
"O01CT000701JW27616","694",
"O01CT000701JW27531","613",
"O01CT000701JW27048","180",
"O01CT000701JW26963","104",
"O01CT000701JW27589","669",
"O01CT000701JW27510","592",
"O01CT000701JW27504","586",
"O01CT000701JW27027","161",
"O01CT000701JW26942","85 / 479",
"O01CT000701JW27568","648",
"O01CT000701JW27483","566",
"O01CT000701JW27006","142",
"O01CT000701JW27000","137",
"O01CT000701JW27547","629",
"O01CT000701JW27462","546",
"O01CT000701JW26979","118",
"O01CT000701JW26894","43",
"O01CT000701JW27526","608",
"O01CT000701JW26815","11.29",
"O01CT000701JW27441","525",
"O01CT000701JW26958","99",
"O01CT000701JW26873","26",
"O01CT000701JW27499","582",
